,source_language,split,target_language
97,he 's my old drinking buddy .,train,c'est mon vieux compagnon de beuverie .
98,he 's so cute .,train,il est tellement mignon !
99,he 's attracted to black women .,train,il est attiré par les femmes noires .
100,he 's gone into hiding .,train,il est parti au maquis .
101,he 's very understanding .,train,il est très compréhensif .
102,he 's addicted to junk food .,train,il est accro à la malbouffe .
103,he 's got what it takes to make it in the business world .,train,il a ce qu'il faut pour réussir dans le monde des affaires .
104,he 's too drunk .,train,il est trop saoul .
105,he 's going to join our club .,train,il va se joindre à notre cercle .
106,he 's such a jerk .,train,c'est un de ces pauvres types !
107,he 's been drinking beer .,train,il a été boire une bière .
108,he 's looking at you .,train,il te regarde .
109,he 's here to protect you .,train,il est là pour te protéger .
110,he 's a bigot .,train,c'est un sectaire .
111,he 's looking good .,train,il a l'air bien .
112,he 's as blind as a bat .,train,il est myope comme une taupe .
113,he 's right behind you .,train,il est juste derrière toi .
114,he 's a very nice boy .,train,c'est un très chouette garçon .
115,he 's worried that he might be late .,train,il est préoccupé par la possibilité d'être en retard .
116,he 's a slob .,train,c'est un flemmard .
117,he 's not as old as my brother .,train,il n'est pas aussi âgé que mon frère .
118,he 's not in .,train,il n'est pas à l'intérieur .
119,he 's on the dance floor .,train,il est sur la piste de danse .
120,he 's demented .,train,il est fou .
121,he 's open-minded .,train,il a l'esprit ouvert .
122,he 's young and single .,train,il est jeune et célibataire .
123,he 's not a bad guy .,train,ce n'est pas un mauvais bougre .
124,he 's a very nice boy .,train,c'est un garçon très gentil .
125,he 's not at home .,train,il n'est pas chez lui .
126,he 's so young .,train,il est si jeune .
127,"he 's not rich , but he 's happy .",train,"s'il n'est pas riche , il est en tous cas heureux ."
128,he 's very ill .,train,il est très malade .
129,he 's the chairman of the committee .,train,il est le président du comité .
130,"he 's very honest , so we can depend on him .",train,"il est très honnête , donc nous pouvons nous reposer sur lui ."
131,he 's always breaking into our conversation .,train,il se mêle toujours de notre conversation .
132,he 's incredibly stupid .,train,il est incroyablement idiot .
133,he 's a bit naive .,train,il est un peu naïf .
134,he 's not my cousin .,train,ce n'est pas mon cousin .
135,he 's the class clown .,train,c'est le pitre de la classe .
136,he 's about to finish reading the book .,train,il est sur le point de terminer la lecture de l'ouvrage .
137,he 's very fond of walking .,train,il adore marcher .
138,he 's so stupid .,train,il est tellement idiot !
139,he 's a bit jealous .,train,il est un peu jaloux .
140,he 's helping me .,train,il m'aide .
141,he 's my friend .,train,c ’ est mon ami .
142,he 's a southpaw .,train,il est gaucher .
143,"he 's shy , and never speaks unless spoken to . you have to talk to him .",train,il est timide . il ne parle jamais sauf si on lui parle . tu dois lui parler .
144,he 's my husband .,train,il est mon époux .
145,he 's a very nice boy .,train,c'est un très gentil garçon .
146,he 's too trusting .,train,il est trop confiant .
147,he 's one of the best .,train,il est l'un des meilleurs .
148,he 's never been abroad in his life .,train,il n'a jamais été à l'étranger de toute sa vie .
149,he 's hungry and thirsty .,train,il a faim et soif .
150,he 's the one who touched me .,train,c'est celui qui m'a tripotée .
151,he 's handsome and charming .,train,il est beau et a du charme .
152,he 's a cardiologist .,train,c'est un cardiologue .
153,he 's too drunk .,train,il est trop ivre .
154,he 's incredibly talented .,train,il est doté d'un talent incroyable .
155,he 's got an uncle who works in a bank .,train,il a un oncle qui travaille dans une banque .
156,he 's coming .,train,il est en train d'arriver .
157,he 's in pain .,train,il souffre .
158,he 's out of town .,train,il n'est pas en ville .
159,he 's allergic to cats .,train,il a une allergie aux chats .
160,he 's raking it in .,train,il gagne plein de thune .
161,he 's playing with my cat .,train,il joue avec mon chat .
162,he 's henpecked .,train,il est harcelé .
163,he 's still alive .,train,il est toujours en vie .
164,he 's extremely happy .,train,il est extrêmement heureux .
165,he 's not young anymore .,train,il n'est plus tout jeune .
166,he 's such a great guy .,train,c'est un type tellement sympa !
167,he 's about to leave .,train,il est sur le point de partir .
168,he 's not ready .,train,il n'est pas prêt .
169,he 's about to go .,train,il est sur le point d'y aller .
170,he 's a newcomer .,train,c'est un nouveau venu .
171,"he 's very honest , so we can rely on him .",train,"il est très honnête , donc nous pouvons nous fier à lui ."
172,he 's addicted to heroin .,train,il est héroïno-dépendant .
173,he 's feeling much better .,train,il se sent beaucoup mieux .
174,he 's doing his german homework .,train,il fait son devoir d'allemand .
175,he 's very protective .,train,il est très protecteur .
176,he 's a goal keeper .,train,il est gardien de but .
177,he 's not worthy of you .,train,il n'est pas digne de toi .
178,he 's my partner .,train,c'est mon partenaire .
179,he 's kind of cute .,train,il est assez mignon .
180,he 's a freshman .,train,c'est un bizuth .
181,he 's photogenic .,train,il est photogénique .
182,he 's smart and ambitious .,train,il est intelligent et ambitieux .
183,he 's under the chair .,train,il est sous la chaise .
184,he 's a very hard worker .,train,c'est un employé très travailleur .
185,he 's a powerful sorcerer .,train,c'est un puissant sorcier .
186,he 's always late for school .,train,il est toujours en retard à l'école .
187,he 's a filthy liar .,train,c'est un sale menteur !
188,he 's no saint .,train,il n'est pas un saint .
189,he 's a smart little feller .,train,c'est un petit gars intelligent .
190,he 's from georgia .,train,il est originaire de géorgie .
191,he 's lived here his entire life .,train,il a vécu ici toute sa vie .
192,he 's now a college student .,train,il est maintenant étudiant à la fac .
193,he 's not perfect .,train,il n'est pas parfait .
194,he 's on his way .,train,il est en chemin .
195,he 's their only child .,train,c'est leur unique enfant .
196,he 's brighter than they are .,train,il est plus intelligent qu'eux .
197,he 's not a hero .,train,ce n'est pas un héros .
198,he 's going to love this .,train,il va adorer ça .
199,he 's always complaining about the food .,train,il se plaint toujours de la nourriture .
200,he 's bulked up quite a bit since he 's been going to the gym .,train,il s'est pas mal musclé depuis qu'il va à la gym .
201,he 's ahead in the race .,train,il est en tête de la course .
202,he 's the new ceo from the parent company in france .,train,il est le nouveau pdg de la société mère en france .
203,he 's innocent .,train,il est ingénu .
204,he 's the prom king and she 's the prom queen .,train,il est le roi du bal et elle en est la reine .
205,he 's cleaning his rifle .,train,il nettoie sa carabine .
206,he 's not going .,train,il ne s'y rend pas .
207,he 's the one who touched me .,train,c'est celui qui m'a tripoté .
208,he 's out of practice .,train,il est rouillé .
209,he 's a short order cook .,train,il cuisine à la demande .
210,he 's ashamed of his body .,train,il a honte de son corps .
211,he 's waiting for you at home .,train,il t'attend chez moi .
212,he 's your friend .,train,il est votre ami .
213,he 's a fine young lad .,train,c'est un bon gars .
214,he 's a successful businessman .,train,c'est un homme d'affaire à succès .
215,he 's not breaking the law .,train,il n'enfreint pas la loi .
216,he 's young and attractive .,train,il est jeune et attirant .
217,he 's an excellent kisser .,train,il embrasse sublimement .
218,he 's a regular at the bars and pubs around here .,train,c'est un client régulier des bars et des pubs du coin .
219,he 's done it before .,train,il l'a fait auparavant .
220,he 's decided to leave the company .,train,il a décidé de quitter la troupe .
221,he 's asleep .,train,il est endormi .
222,he 's in hot water .,train,il est dans la mouise .
223,he 's a talented young director .,train,c'est un jeune directeur plein de talent .
224,he 's not going .,train,il ne s'en va pas .
225,he 's ready to go .,train,il est prêt à y aller .
226,he 's after me .,train,il est après mes fesses .
227,he 's been doing this for over twenty years .,train,il fait ça depuis plus de vingt ans .
228,he 's really quick .,train,il est vraiment rapide .
229,he 's a senior .,train,c'est un retraité .
230,he 's a very fine musician .,train,c'est un très bon musicien .
231,he 's two years older than mary is .,train,il est deux ans plus vieux que mary .
232,he 's a liar .,train,c'est un menteur .
233,he 's so young .,train,il est tellement jeune .
234,he 's the same age as me .,train,il a le même âge que moi .
235,he 's not serious .,train,il n'est pas sérieux .
236,he 's too old for me .,train,il est trop vieux pour moi .
237,he 's here for me .,train,il est là pour moi .
238,he 's in prison .,train,il se trouve en prison .
239,he 's a senior .,train,c'est un ancien .
240,he 's a bartender .,train,c'est un tenancier de bar .
241,he 's doing it right .,train,il le fait correctement .
242,he 's a slowpoke .,train,c'est un lourdaud .
243,he 's bulked up quite a bit since he 's been going to the gym .,train,il s'est pas mal renforcé depuis qu'il va à la gym .
244,he 's a professional photographer .,train,il est photographe professionnel .
245,he 's interested in mayan prophecies .,train,il s'intéresse aux prophéties mayas .
246,he 's not allowed to leave the country .,train,il n'est pas autorisé à quitter le pays .
247,he 's raking it in .,train,il ramasse l'argent à la pelle .
248,he 's a nervous wreck .,train,c'est une boule de nerfs .
249,he 's the most likely to succeed .,train,il est celui qui a le plus de chances de réussir .
250,he 's checking his cellphone .,train,il vérifie son téléphone portable .
251,he 's your son .,train,il est votre fils .
252,"he 's a crybaby , just like always .",train,"c'est un pleurnichard , comme toujours ."
253,he 's not the brightest guy in the world .,train,ce n'est pas une lumière .
254,"he 's a young , impressionable teenager .",train,c'est un jeune adolescent impressionnable .
255,he 's your son .,train,c'est ton fils .
256,he 's raking it in .,train,il s'en met plein les poches .
257,he 's not my father .,train,il n'est pas mon père .
258,he 's a law-abiding citizen .,train,c'est un citoyen respectueux des lois .
259,he 's a frat boy .,train,il est membre d'une fraternité étudiante .
260,he 's a comedian .,train,il est comédien .
261,he 's not like us .,train,il n'est pas comme nous .
262,he 's always running short of cash .,train,il est toujours à court de liquide .
263,he 's a famous popular singer in japan .,train,il est un célèbre chanteur populaire au japon .
264,he 's out now .,train,il est actuellement à l'extérieur .
265,he 's not very good at it .,train,il n'y est pas très bon .
266,he 's never been in love before .,train,jamais il n'a été amoureux auparavant .
267,he 's a bit tipsy .,train,il est un peu éméché .
268,he 's not in .,train,il n'est pas là .
269,he 's mumbling something .,train,il rumine quelque chose .
270,he 's a salesman too .,train,il est aussi un vendeur .
271,he 's learning chinese .,train,il apprend le chinois .
272,he 's a grouch .,train,c'est un rouspéteur .
273,he 's working at his english .,train,il travaille son anglais .
274,he 's here to protect you .,train,il est là pour vous protéger .
275,he 's a lovely young man .,train,c'est un jeune homme adorable .
276,he 's only a couple of years younger than me .,train,il n'a que quelques années de moins que moi .
277,he 's a nervous wreck .,train,il est nerveusement usé .
278,he 's fluent in japanese .,train,il parle couramment le japonais .
279,he 's reading a novel right now .,train,"il lit un roman , en ce moment ."
280,he 's a late bloomer .,train,il est tardivement arrivé à maturité .
281,he 's had some very good results lately .,train,"il a eu de très bons résultats , ces derniers temps ."
282,he 's an englishman .,train,il est anglais .
283,he 's swiss .,train,il est helvète .
284,he 's still sick in bed .,train,il est toujours cloué au lit .
285,he 's always reading comics .,train,il lit toujours des bandes dessinées .
286,he 's addicted to drugs .,train,il est accroché aux médicaments .
287,he 's a food critic .,train,c'est un critique gastronomique .
288,he 's a smooth talker .,train,c'est un beau parleur .
289,he 's always complaining about something .,train,il se plaint toujours de quelque chose .
290,he 's been waiting here for a long time .,train,il a longuement attendu ici .
291,he 's likely to be late .,train,il est probable qu'il soit en retard .
292,he 's going to get fired .,train,il va se faire virer .
293,he 's stronger than me .,train,il est plus fort que moi .
294,he 's the one who helped me .,train,c'est lui qui m'a aidé .
295,he 's a nerd .,train,c'est un binoclard .
296,he 's too old for her .,train,il est trop vieux pour elle .
297,he 's allergic to cats .,train,il est allergique aux chats .
298,he 's sitting in the waiting room .,train,il est assis dans la salle d'attente .
299,he 's adorable .,train,il est adorable .
300,he 's mad at his daughter .,train,il est en colère après sa fille .
301,he 's in big trouble .,train,il est dans la merde .
302,he 's been teaching for 20 years .,train,il enseigne depuis 20 ans .
303,he 's playing with my cat .,train,il joue avec ma chatte .
304,he 's here to spy on us .,train,il est ici pour nous espionner .
305,he 's an author .,train,il est auteur .
306,he 's a bit shy .,train,il est un peu timide .
307,he 's a bartender .,train,il est tenancier de bar .
308,he 's a very talented man .,train,c'est un homme très talentueux .
309,he 's just buying time .,train,il est juste en train de gagner du temps .
310,he 's away on business .,train,il est parti pour affaires .
311,he 's a bit drunk .,train,il est un peu ivre .
312,he 's a man you can rely on .,train,c'est un homme sur qui vous pouvez compter .
313,he 's right behind you .,train,il est juste derrière vous .
314,he 's dating my daughter .,train,il sort avec ma fille .
315,he 's about to go .,train,il est sur le point de s'en aller .
316,he 's like a brother to me .,train,il est comme un frère pour moi .
317,he 's such a jerk .,train,c'est un tel pauvre type !
318,he 's not one of us .,train,il n'est pas des nôtres .
319,he 's an expert with a slingshot .,train,c'est un expert à la fronde .
320,he 's a movie buff .,train,c'est un mordu de cinéma .
321,he 's likely to come .,train,il est probable qu'il vienne .
322,he 's going to sit here .,train,il va s'asseoir ici .
323,he 's a control freak .,train,c'est un malade du contrôle .
324,he 's fresh out of college .,train,il est frais émoulu de l'université .
325,he 's unconscious .,train,il est inconscient .
326,he 's head over heels in love .,train,il est fou amoureux .
327,he 's the perfect man for you .,train,c'est l'homme parfait pour toi .
328,he 's more than likely to come .,train,il est plus que probable qu'il vienne .
329,he 's afraid of the sea .,train,il a peur de la mer .
330,he 's good at arithmetic .,train,il est bon en calcul .
331,he 's already left .,train,il est déjà parti .
332,he 's wanted for grand theft auto .,train,il est recherché pour vol de véhicule .
333,he 's talking on the telephone .,train,il parle au téléphone .
334,he 's self-employed .,train,il est indépendant .
335,he 's not a very meticulous guy .,train,il n'est pas vraiment minutieux .
336,he 's a hopeless case .,train,il est sans espoir .
337,he 's out of practice .,train,il manque de pratique .
338,he 's a man you can rely on .,train,c'est un homme sur qui tu peux compter .
339,he 's so cute .,train,il est si mignon !
340,he 's waiting for you at home .,train,il vous attend chez nous .
341,he 's been divorced for 2 years already .,train,il est divorcé depuis deux ans déjà .
342,he 's coming closer .,train,il se rapproche .
343,he 's waiting for you at home .,train,il vous attend chez lui .
344,he 's got a headache .,train,il a mal à la tête .
345,he 's cunning and manipulative .,train,il est rusé et manipulateur .
346,he 's no saint .,train,ce n'est pas un saint .
347,he 's a republican fundraiser .,train,c'est un collecteur de fonds pour le parti républicain .
348,he 's a slacker .,train,c'est un planqué .
349,he 's digging his own grave .,train,il creuse sa propre tombe .
350,he 's been waiting here for a long time .,train,ça fait longtemps qu'il attend ici .
351,he 's almost as tall as me .,train,il est presque aussi grand que moi .
352,he 's a gentleman .,train,c'est un gentleman .
353,he 's still alive .,train,il est encore en vie .
354,he 's going to regret this .,train,il va le regretter .
355,he 's studying hard so he can pass the entrance exam .,train,il travaille dur afin de réussir l'examen d'entrée .
356,he 's leaning on a cane .,train,il s'appuie sur une canne .
357,he 's got lung cancer .,train,il a le cancer des poumons .
358,he 's scared to talk to me .,train,il a peur de me parler .
359,he 's a carbon copy of his father .,train,il ressemble comme deux gouttes d ’ eau à son père .
360,he 's everybody 's friend .,train,il est l'ami de tout le monde .
361,he 's eating lunch now .,train,"il est en train de prendre son déjeuner , à l'heure actuelle ."
362,he 's the one who 's lagging behind .,train,c'est lui qui est à la traîne .
363,he 's at her side .,train,il se trouve à son côté .
364,"he 's screaming , not singing .",train,"il hurle , il ne chante pas ."
365,he 's afraid of making mistakes .,train,il a peur de se tromper .
366,he 's in for a shock .,train,il va avoir un choc .
367,he 's a slacker .,train,c'est un fainéant .
368,he 's your father .,train,il est votre père .
369,he 's my younger brother .,train,il est mon frère cadet .
370,he 's nervous and easily frightened .,train,il est nerveux et facilement effrayé .
371,he 's always at home on mondays .,train,"il se trouve toujours à son domicile , le lundi ."
372,he 's very talented .,train,il est très talentueux .
373,he 's just a liar .,train,ce n'est qu'un menteur .
374,he 's tall and slim .,train,il est grand et mince .
375,he 's a teacher and so am i .,train,il est professeur et moi aussi .
376,he 's the most popular boy in the class .,train,il est le garçon le plus apprécié de la classe .
377,he 's very flexible .,train,il est très flexible .
378,he 's had many unhappy experiences .,train,il a eu beaucoup d'expériences malheureuses .
379,he 's a cardiologist .,train,il est cardiologue .
380,he 's now short of money .,train,il est maintenant à court d'argent .
381,he 's a kind person .,train,il est gentil .
382,he 's a jesuit .,train,il est jésuite .
383,he 's a sophomore .,train,c'est un étudiant de deuxième année .
384,he 's deep in debt .,train,il est endetté jusqu'au cou .
385,he 's thrilled with his new job .,train,il est enthousiasmé par son nouveau travail .
386,he 's afraid of making mistakes .,train,il craint de commettre des erreurs .
387,he 's a singer that 's loved by everyone .,train,c'est un chanteur aimé de tous .
388,he 's annoying .,train,il est embêtant .
389,he 's my age .,train,il a mon âge .
390,he 's active and fit .,train,il est actif et en forme .
391,he 's not such a great writer and i think he knows it .,train,il n'est pas un très bon écrivain et je pense qu'il le sait .
392,he 's going to cross the river .,train,il va traverser la rivière .
393,he 's missed the boat .,train,il a loupé le coche .
394,he 's just kidding you .,train,il se moque juste de toi .
395,he 's nervous and gets scared easily .,train,il est nerveux et facilement effrayé .
396,he 's a leading authority in his field .,train,c'est une sommité dans son domaine .
397,he 's in big trouble .,train,il a de gros problèmes .
398,he 's after me .,train,il me poursuit .
399,he 's definitely not coming .,train,il ne viendra décidément pas .
400,he 's a strange guy .,train,c'est un type étrange .
401,he 's getting old .,train,il se fait vieux .
402,he 's not sure he 's ready .,train,il n'est pas sûr d'être prêt .
403,he 's reading a novel right now .,train,il est en train de lire un roman .
404,he 's too young to drink .,train,il est trop jeune pour boire .
405,he 's different from before .,train,il est différent de ce qu'il était avant .
406,he 's an accredited representative of the canadian government .,train,c'est un représentant accrédité du gouvernement canadien .
407,he 's a friend of my brother 's .,train,c'est un ami de mon frère .
408,he 's not going to visit you tomorrow .,train,il ne vous rendra pas visite demain .
409,he 's writing a long letter .,train,il écrit une longue lettre .
410,he 's doing it right .,train,il le fait comme il faut .
411,he 's saving up to go to college .,train,il économise de l'argent afin qu'il puisse aller à l'université .
412,he 's watching me .,train,il m'observe .
413,he 's hungry for power .,train,il a soif de pouvoir .
414,he 's my friend . do you know him ?,train,c'est mon ami . le connais-tu ?
415,he 's still single .,train,il est encore célibataire .
416,he 's a very nice boy .,train,c'est un garçon très chouette .
417,he 's a student of japanese literature .,train,il est étudiant en littérature japonaise .
418,he 's doing his best .,train,il fait de son mieux .
419,he 's buying an old hat .,train,il achète un vieux chapeau .
420,he 's really into soccer .,train,il est vraiment fondu de foot .
421,he 's a very fine musician .,train,c'est un musicien de grande qualité .
422,he 's a tennis player .,train,il est joueur de tennis .
423,he 's a cat lover .,train,il adore les chats .
424,he 's always at home on mondays .,train,il est toujours chez lui le lundi .
425,he 's taking a shower .,train,il est en train de prendre une douche .
426,he 's married .,train,il est marié .
427,he 's a man of many talents .,train,c'est un homme aux multiples talents .
428,he 's looking for a job .,train,il est à la recherche d'un emploi .
429,he 's hiding in the closet .,train,il se cache dans le placard .
430,he 's after me .,train,il est après moi .
431,he 's old and crazy .,train,il est vieux et fou .
432,he 's kind of shy .,train,il est assez timide .
433,he 's accustomed to traveling .,train,il est habitué à voyager .
434,he 's a senior .,train,c'est un aîné .
435,he 's very upset by this .,train,il est très contrarié par cela .
436,he 's an oceanographer .,train,il est océanographe .
437,he 's intimidated by beautiful women .,train,il est intimidé par les belles femmes .
438,he 's waiting for you at home .,train,il vous attend à la maison .
439,he 's an aristocrat .,train,c'est un aristocrate .
440,he 's cruel and heartless .,train,il est cruel et sans cœur .
441,"he 's the one , is n't he ?",train,"c'est lui , n'est-ce pas ?"
442,he 's not at all afraid of snakes .,train,il n'a pas du tout peur des serpents .
443,he 's financially dependent on his wife .,train,il dépend financièrement de son épouse .
444,he 's too slow .,train,il est trop lent .
445,he 's in the shower .,train,il est dans la douche .
446,he 's in my class .,train,il est dans la même classe que moi .
447,he 's after me .,train,il est derrière moi .
448,he 's incredibly talented .,train,il est incroyablement talentueux .
449,he 's addicted .,train,il a une assuétude .
450,he 's hopelessly in love .,train,il est désespérément amoureux .
451,he 's my best friend .,train,c'est mon meilleur ami .
452,he 's sitting in the waiting room .,train,il est assis en salle d'attente .
453,he 's a bad influence .,train,il a une mauvaise influence .
454,he 's with his parents .,train,il est avec ses parents .
455,he 's in danger of being evicted .,train,il risque d'être expulsé .
456,he 's in prison .,train,il est en prison .
457,he 's not in our group .,train,il ne fait pas partie de notre groupe .
458,he 's the captain of a team .,train,il est capitaine d'une équipe .
459,he 's a great kisser .,train,il embrasse très bien .
460,he 's crying .,train,il est en train de pleurer .
461,he 's sleeping like a baby .,train,il dort comme un bébé .
462,he 's your typical workaholic .,train,"il est l'archétype du bourreau de travail , tel que vous vous l'imaginez ."
463,he 's a foreign exchange student .,train,c'est un étudiant étranger d'un programme d'échange .
464,he 's good at what he does .,train,il est bon dans ce qu'il fait .
465,he 's never been in love before .,train,il n'a jamais été amoureux auparavant .
466,he 's always on time for his appointments .,train,il est toujours ponctuel pour ses rendez-vous .
467,he 's a bit naive .,train,il est un peu niais .
468,he 's open and trusting .,train,il est ouvert et confiant .
469,he 's getting cold feet .,train,il commence à avoir les jetons .
470,he 's sleeping off last night 's bender .,train,il dort pour se remettre de la beuverie de la nuit dernière .
471,he 's an advocate of barefoot running .,train,il est partisan de la course pieds nus .
472,he 's a good liar .,train,il est bon menteur .
473,he 's really selfish .,train,il est vraiment égoïste .
474,he 's pushing fifty .,train,il frôle les cinquante ans .
475,he 's not going .,train,il n'y va pas .
476,he 's innocent .,train,il est innocent .
477,he 's loaded .,train,il est pété de thune .
478,he 's getting more and more stubborn with age .,train,il devient de plus en plus têtu avec l'âge .
479,he 's here trying to stir up trouble .,train,il est ici pour chercher la bagarre .
480,he 's love struck .,train,il a le coup de foudre .
481,he 's rich .,train,il est riche .
482,he 's got the biggest eyebrows i 've ever seen .,train,il a les plus gros sourcils que j'ai jamais vus .
483,he 's a professor of biology at harvard .,train,il est professeur de biologie à harvard .
484,"he 's very honest , so we can rely on him .",train,"il est très honnête , donc nous pouvons nous y fier ."
485,he 's better at it than i am .,train,il y est meilleur que je ne le suis .
486,he 's in his fifties .,train,il a la cinquantaine .
487,he 's going to have a heart attack .,train,il va avoir une attaque cardiaque .
488,he 's not sure he wants to do this .,train,il n'est pas sûr de vouloir le faire .
489,he 's at her side .,train,il est à son côté .
490,he 's a carbon copy of his father .,train,c'est le portrait craché de son père .
491,he 's out of town on business .,train,il est affairé en dehors de la ville .
492,he 's behaving oddly .,train,il se comporte étrangement .
493,he 's always worrying about his daughter .,train,il se fait tout le temps du souci au sujet de sa fille .
494,he 's a southpaw .,train,c'est un gaucher .
495,he 's likely to be chosen .,train,il est probable qu'il sera choisi .
496,he 's on his way home .,train,il est sur le chemin de son domicile .
497,he 's a freshman .,train,c'est un bleu .
498,he 's a bit of a drunkard .,train,il est un peu alcoolique .
499,he 's walking around in his underwear .,train,il se promène en sous-vêtements .
500,he 's broke .,train,il est fauché .
501,he 's a well-known television personality .,train,c'est une personnalité bien connue de la télévision .
502,he 's a stand-up guy .,train,c'est un type sur qui on peut compter .
503,he 's a gambler .,train,il est joueur .
504,he 's in his late fifties .,train,il a la cinquantaine bien tassée .
505,he 's greedy and ruthless .,train,il est avide et impitoyable .
506,he 's in tokyo .,train,il est à tokyo .
